SHP_ADM_CD,CSV_ADMI_CD,GU_NM,DONG_NM
11010530,11110530,종로구,사직동
11010540,11110540,종로구,삼청동
11010550,11110550,종로구,부암동
11010560,11110560,종로구,평창동
11010570,11110570,종로구,무악동
11010580,11110580,종로구,교남동
11010600,11110600,종로구,가회동
11010610,,종로구,종로1·2·3·4가동
11010630,,종로구,종로5·6가동
11010640,11110640,종로구,이화동
11010670,11110670,종로구,창신1동
11010680,11110680,종로구,창신2동
11010690,11110690,종로구,창신3동
11010700,11110700,종로구,숭인1동
11010710,11110710,종로구,숭인2동
11010720,11110515,종로구,청운효자동
11010730,11110650,종로구,혜화동
11020520,11140520,중구,소공동
11020540,11140540,중구,회현동
11020550,11140550,중구,명동
11020570,11140570,중구,필동
11020580,11140580,중구,장충동
11020590,11140590,중구,광희동
11020600,11140605,중구,을지로동
11020650,11140650,중구,신당5동
11020670,11140670,중구,황학동
11020680,11140680,중구,중림동
11020690,11140615,중구,신당동
11020700,11140625,중구,다산동
11020710,11140635,중구,약수동
11020720,11140645,중구,청구동
11020730,11140665,중구,동화동
11030510,11170510,용산구,후암동
11030520,11170520,용산구,용산2가동
11030530,11170530,용산구,남영동
11030570,11170570,용산구,원효로2동
11030580,11170580,용산구,효창동
11030590,11170590,용산구,용문동
11030630,11170630,용산구,이촌1동
11030640,11170640,용산구,이촌2동
11030650,11170650,용산구,이태원1동
11030660,11170660,용산구,이태원2동
11030690,11170690,용산구,서빙고동
11030700,11170700,용산구,보광동
11030710,11170555,용산구,청파동
11030720,11170560,용산구,원효로1동
11030730,11170625,용산구,한강로동
11030740,11170685,용산구,한남동
11040520,11200520,성동구,왕십리2동
11040540,11200540,성동구,마장동
11040550,11200550,성동구,사근동
11040560,11200560,성동구,행당1동
11040570,11200570,성동구,행당2동
11040580,11200580,성동구,응봉동
11040590,11200590,성동구,금호1가동
11040620,11200620,성동구,금호4가동
11040650,11200650,성동구,성수1가1동
11040660,11200660,성동구,성수1가2동
11040670,11200670,성동구,성수2가1동
11040680,11200690,성동구,성수2가3동
11040690,11200720,성동구,송정동
11040700,11200790,성동구,용답동
11040710,11200535,성동구,왕십리도선동
11040720,,성동구,금호2·3가동
11040730,11200645,성동구,옥수동
11050530,11215710,광진구,화양동
11050540,11215730,광진구,군자동
11050550,11215740,광진구,중곡1동
11050560,11215750,광진구,중곡2동
11050570,11215760,광진구,중곡3동
11050580,11215770,광진구,중곡4동
11050590,11215780,광진구,능동
11050600,11215850,광진구,구의1동
11050610,11215860,광진구,구의2동
11050620,11215870,광진구,구의3동
11050630,11215810,광진구,광장동
11050640,11215820,광진구,자양1동
11050650,11215830,광진구,자양2동
11050660,11215840,광진구,자양3동
11050670,11215847,광진구,자양4동
11060710,11230710,동대문구,회기동
11060720,11230720,동대문구,휘경1동
11060730,11230730,동대문구,휘경2동
11060800,11230705,동대문구,청량리동
11060810,,동대문구,용신동
11060820,11230545,동대문구,제기동
11060830,11230560,동대문구,전농1동
11060840,11230570,동대문구,전농2동
11060860,11230610,동대문구,답십리2동
11060870,11230650,동대문구,장안1동
11060880,11230660,동대문구,장안2동
11060890,11230740,동대문구,이문1동
11060900,11230750,동대문구,이문2동
11060910,11230600,동대문구,답십리1동
11070520,11260520,중랑구,면목2동
11070540,11260540,중랑구,면목4동
11070550,11260550,중랑구,면목5동
11070570,11260570,중랑구,면목7동
11070590,11260580,중랑구,상봉1동
11070600,11260590,중랑구,상봉2동
11070610,11260600,중랑구,중화1동
11070620,11260610,중랑구,중화2동
11070640,11260620,중랑구,묵1동
11070650,11260630,중랑구,묵2동
11070680,11260660,중랑구,망우3동
11070690,11260680,중랑구,신내1동
11070700,11260690,중랑구,신내2동
11070710,11260565,중랑구,면목본동
11070720,,중랑구,면목3·8동
11070730,11260655,중랑구,망우본동
11080580,11290580,성북구,돈암1동
11080590,11290590,성북구,돈암2동
11080600,11290600,성북구,안암동
11080610,11290610,성북구,보문동
11080620,11290620,성북구,정릉1동
11080630,11290630,성북구,정릉2동
11080640,11290640,성북구,정릉3동
11080650,11290650,성북구,정릉4동
11080660,11290660,성북구,길음1동
11080680,11290685,성북구,길음2동
11080710,11290715,성북구,월곡1동
11080720,11290725,성북구,월곡2동
11080760,11290760,성북구,장위1동
11080770,11290770,성북구,장위2동
11080780,11290780,성북구,장위3동
11080810,11290525,성북구,성북동
11080820,11290555,성북구,삼선동
11080830,11290575,성북구,동선동
11080840,11290705,성북구,종암동
11080850,11290810,성북구,석관동
11090600,11305595,강북구,번1동
11090610,11305603,강북구,번2동
11090620,11305608,강북구,번3동
11090630,11305615,강북구,수유1동
11090640,11305625,강북구,수유2동
11090650,11305635,강북구,수유3동
11090690,11305534,강북구,삼양동
11090700,11305535,강북구,미아동
11090710,11305545,강북구,송중동
11090720,11305555,강북구,송천동
11090730,11305575,강북구,삼각산동
11090740,11305645,강북구,우이동
11090750,11305660,강북구,인수동
11100510,11320660,도봉구,쌍문1동
11100520,11320670,도봉구,쌍문2동
11100530,11320680,도봉구,쌍문3동
11100540,11320681,도봉구,쌍문4동
11100550,11320690,도봉구,방학1동
11100560,11320700,도봉구,방학2동
11100570,11320710,도봉구,방학3동
11100590,11320511,도봉구,창1동
11100600,11320512,도봉구,창2동
11100610,11320513,도봉구,창3동
11100620,11320514,도봉구,창4동
11100630,11320515,도봉구,창5동
11100640,11320521,도봉구,도봉1동
11100650,11320522,도봉구,도봉2동
11110510,11350560,노원구,월계1동
11110520,11350570,노원구,월계2동
11110530,11350580,노원구,월계3동
11110560,11350600,노원구,공릉2동
11110580,11350611,노원구,하계1동
11110590,11350612,노원구,하계2동
11110600,11350619,노원구,중계본동
11110610,11350621,노원구,중계1동
11110640,11350624,노원구,중계4동
11110650,11350630,노원구,상계1동
11110660,11350640,노원구,상계2동
11110690,11350670,노원구,상계5동
11110720,11350700,노원구,상계8동
11110730,11350710,노원구,상계9동
11110740,11350720,노원구,상계10동
11110760,,노원구,상계3·4동
11110770,,노원구,상계6·7동
11110780,,노원구,중계2·3동
11110790,11350595,노원구,공릉1동
11120510,11380510,은평구,녹번동
11120520,11380520,은평구,불광1동
11120550,11380551,은평구,갈현1동
11120560,11380552,은평구,갈현2동
11120570,11380560,은평구,구산동
11120580,11380570,은평구,대조동
11120590,11380580,은평구,응암1동
11120600,11380590,은평구,응암2동
11120650,11380631,은평구,신사1동
11120660,11380632,은평구,신사2동
11120670,11380640,은평구,증산동
11120680,11380650,은평구,수색동
11120710,11380690,은평구,진관동
